Timestamp,CPU_Perc,Mem_Usage
1780074468000,0.55%,65.64MiB / 7.563GiB
1780074471000,0.39%,66MiB / 7.563GiB
1780074473000,0.45%,65.71MiB / 7.563GiB
1780074475000,1.12%,65.95MiB / 7.563GiB
1780074477000,0.69%,65.33MiB / 7.563GiB
1780074480000,0.33%,66.29MiB / 7.563GiB
1780074482000,1.03%,66.54MiB / 7.563GiB
1780074484000,0.56%,66.39MiB / 7.563GiB
1780074486000,0.33%,66.79MiB / 7.563GiB
1780074488000,0.43%,66.38MiB / 7.563GiB
1780074491000,0.80%,66.91MiB / 7.563GiB
1780074493000,2.80%,66.75MiB / 7.563GiB
1780074495000,0.58%,65.84MiB / 7.563GiB
1780074497000,0.23%,66.11MiB / 7.563GiB
1780074500000,0.28%,66.5MiB / 7.563GiB
1780074502000,0.55%,66.26MiB / 7.563GiB
1780074504000,0.30%,66.06MiB / 7.563GiB
1780074507000,0.46%,65.76MiB / 7.563GiB
1780074510000,0.49%,66.34MiB / 7.563GiB
1780074512000,0.70%,65.72MiB / 7.563GiB
1780074514000,0.43%,65.94MiB / 7.563GiB
1780074516000,0.52%,66.26MiB / 7.563GiB
1780074518000,0.26%,66MiB / 7.563GiB
1780074521000,0.55%,66.8MiB / 7.563GiB
1780074523000,0.24%,66.57MiB / 7.563GiB
1780074525000,0.31%,66.04MiB / 7.563GiB
1780074527000,0.25%,66.43MiB / 7.563GiB
1780074530000,0.40%,66.11MiB / 7.563GiB
1780074532000,0.49%,66.59MiB / 7.563GiB
1780074534000,0.50%,67.17MiB / 7.563GiB
1780074536000,0.66%,66.38MiB / 7.563GiB
1780074538000,0.61%,66.64MiB / 7.563GiB
1780074541000,1.38%,66.45MiB / 7.563GiB
1780074543000,0.48%,66.93MiB / 7.563GiB
1780074545000,0.81%,67.09MiB / 7.563GiB
1780074547000,7.17%,66.68MiB / 7.563GiB
1780074550000,0.45%,66.73MiB / 7.563GiB
1780074552000,0.31%,67MiB / 7.563GiB
1780074554000,0.35%,66.72MiB / 7.563GiB
1780074556000,6.03%,67.36MiB / 7.563GiB
1780074558000,1.18%,67.89MiB / 7.563GiB
1780074561000,0.49%,68.53MiB / 7.563GiB
1780074563000,0.52%,67.22MiB / 7.563GiB
1780074565000,1.00%,67.25MiB / 7.563GiB
1780074568000,0.48%,67.25MiB / 7.563GiB
1780074571000,0.30%,66.51MiB / 7.563GiB
1780074573000,0.22%,66.82MiB / 7.563GiB
1780074575000,0.51%,66.55MiB / 7.563GiB
1780074577000,0.72%,67.12MiB / 7.563GiB
1780074580000,0.50%,67.23MiB / 7.563GiB
1780074582000,0.60%,66.68MiB / 7.563GiB
1780074584000,0.65%,67MiB / 7.563GiB
1780074586000,0.55%,67.23MiB / 7.563GiB
1780074588000,0.20%,66.95MiB / 7.563GiB
1780074591000,0.21%,67.68MiB / 7.563GiB
1780074593000,0.43%,66.81MiB / 7.563GiB
1780074595000,0.59%,67.08MiB / 7.563GiB
1780074597000,0.74%,66.98MiB / 7.563GiB
1780074600000,0.45%,67.3MiB / 7.563GiB
1780074602000,0.39%,67.62MiB / 7.563GiB
1780074604000,0.95%,67.03MiB / 7.563GiB
1780074606000,0.26%,67.04MiB / 7.563GiB
1780074608000,0.57%,67.09MiB / 7.563GiB
1780074611000,0.61%,67.26MiB / 7.563GiB
1780074613000,0.56%,67.04MiB / 7.563GiB
1780074615000,0.34%,67.15MiB / 7.563GiB
1780074617000,0.34%,67.82MiB / 7.563GiB
1780074620000,0.34%,67.79MiB / 7.563GiB
1780074622000,0.65%,67.77MiB / 7.563GiB
1780074624000,0.25%,67.75MiB / 7.563GiB
1780074627000,0.54%,67.45MiB / 7.563GiB
1780074630000,0.46%,67.7MiB / 7.563GiB
1780074632000,0.68%,67.7MiB / 7.563GiB
1780074634000,0.95%,67.96MiB / 7.563GiB
1780074636000,0.52%,68.28MiB / 7.563GiB
1780074638000,8.29%,67.99MiB / 7.563GiB
1780074641000,0.59%,68MiB / 7.563GiB
1780074643000,0.25%,67.75MiB / 7.563GiB
1780074645000,0.22%,67.16MiB / 7.563GiB
1780074647000,0.54%,67.7MiB / 7.563GiB
1780074650000,1.04%,67.21MiB / 7.563GiB
1780074652000,0.92%,67.5MiB / 7.563GiB
1780074654000,0.51%,67.76MiB / 7.563GiB
1780074656000,0.52%,67.32MiB / 7.563GiB
1780074658000,0.46%,67.77MiB / 7.563GiB
1780074661000,2.69%,67.58MiB / 7.563GiB
1780074663000,0.54%,67.51MiB / 7.563GiB
1780074665000,0.60%,67.96MiB / 7.563GiB
1780074667000,6.94%,75.67MiB / 7.563GiB
1780074670000,0.74%,67.92MiB / 7.563GiB
1780074672000,0.39%,67.98MiB / 7.563GiB
1780074674000,0.24%,68.29MiB / 7.563GiB
1780074677000,0.53%,67.52MiB / 7.563GiB
1780074680000,1.07%,67.81MiB / 7.563GiB
1780074682000,0.69%,68.04MiB / 7.563GiB
1780074684000,1.11%,67.44MiB / 7.563GiB
1780074686000,0.61%,67.62MiB / 7.563GiB
1780074688000,0.55%,67.21MiB / 7.563GiB
1780074691000,0.74%,67.52MiB / 7.563GiB
1780074693000,0.41%,67.75MiB / 7.563GiB
1780074695000,0.78%,67.72MiB / 7.563GiB
1780074697000,0.73%,67.94MiB / 7.563GiB
